region_code,region,location_code,location,period,gender,gender_code,life_expect_birth
SEAR,South-East Asia,BTN,Bhutan,2019,Male,MLE,72.03
AMR,Americas,NIC,Nicaragua,2019,Male,MLE,72.07
AMR,Americas,BOL,Bolivia (Plurinational State of),2019,Both sexes,BTSX,72.14
SEAR,South-East Asia,IND,India,2019,Female,FMLE,72.17
SEAR,South-East Asia,MMR,Myanmar,2019,Female,FMLE,72.2
EMR,Eastern Mediterranean,IRQ,Iraq,2019,Both sexes,BTSX,72.42
AMR,Americas,BRA,Brazil,2019,Male,MLE,72.45
EUR,Europe,ARM,Armenia,2019,Male,MLE,72.49
AMR,Americas,TTO,Trinidad and Tobago,2019,Male,MLE,72.54
WPR,Western Pacific,TON,Tonga,2019,Both sexes,BTSX,72.57
WPR,Western Pacific,MYS,Malaysia,2019,Male,MLE,72.61
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2019,Both sexes,BTSX,72.63
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Both sexes,BTSX,72.67
WPR,Western Pacific,KHM,Cambodia,2019,Female,FMLE,72.75
SEAR,South-East Asia,NPL,Nepal,2019,Female,FMLE,72.75
WPR,Western Pacific,MNG,Mongolia,2019,Female,FMLE,72.76
AMR,Americas,DOM,Dominican Republic,2019,Both sexes,BTSX,72.84
EUR,Europe,MKD,The former Yugoslav Republic of Macedonia,2019,Male,MLE,72.84
AMR,Americas,GRD,Grenada,2019,Both sexes,BTSX,72.88
EMR,Eastern Mediterranean,OMN,Oman,2019,Male,MLE,72.97
EUR,Europe,TKM,Turkmenistan,2019,Female,FMLE,72.97
SEAR,South-East Asia,BGD,Bangladesh,2019,Male,MLE,72.99
EMR,Eastern Mediterranean,MAR,Morocco,2019,Both sexes,BTSX,72.99
EUR,Europe,UZB,Uzbekistan,2019,Both sexes,BTSX,73.01
EUR,Europe,UKR,Ukraine,2019,Both sexes,BTSX,73.02
AMR,Americas,PRY,Paraguay,2019,Male,MLE,73.08
EUR,Europe,HUN,Hungary,2019,Male,MLE,73.09
SEAR,South-East Asia,BTN,Bhutan,2019,Both sexes,BTSX,73.11
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2019,Male,MLE,73.11
AMR,Americas,BOL,Bolivia (Plurinational State of),2019,Female,FMLE,73.13
AMR,Americas,MEX,Mexico,2019,Male,MLE,73.13
EUR,Europe,MNE,Montenegro,2019,Male,MLE,73.15
AMR,Americas,HND,Honduras,2019,Female,FMLE,73.16
AMR,Americas,BHS,Bahamas,2019,Both sexes,BTSX,73.21
AMR,Americas,VCT,Saint Vincent and the Grenadines,2019,Both sexes,BTSX,73.22
EUR,Europe,RUS,Russian Federation,2019,Both sexes,BTSX,73.23
EUR,Europe,MDA,Republic of Moldova,2019,Both sexes,BTSX,73.26
EUR,Europe,GEO,Georgia,2019,Both sexes,BTSX,73.28
SEAR,South-East Asia,IDN,Indonesia,2019,Female,FMLE,73.3
AFR,Africa,SYC,Seychelles,2019,Both sexes,BTSX,73.34
WPR,Western Pacific,BRN,Brunei Darussalam,2019,Male,MLE,73.39
EUR,Europe,SRB,Serbia,2019,Male,MLE,73.46
AMR,Americas,URY,Uruguay,2019,Male,MLE,73.48
AMR,Americas,ARG,Argentina,2019,Male,MLE,73.51
WPR,Western Pacific,PHL,Philippines,2019,Female,FMLE,73.6
WPR,Western Pacific,VNM,Viet Nam,2019,Both sexes,BTSX,73.74
SEAR,South-East Asia,LKA,Sri Lanka,2019,Male,MLE,73.8
EMR,Eastern Mediterranean,OMN,Oman,2019,Both sexes,BTSX,73.9
EUR,Europe,KAZ,Kazakhstan,2019,Both sexes,BTSX,73.95
